Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,46750.000000,50900.000000,46750.000000,50800.000000,50800.000000,370709
2023-07-28,50000.000000,50300.000000,48700.000000,48850.000000,48850.000000,237878
2023-07-31,48950.000000,50900.000000,48700.000000,50200.000000,50200.000000,253804
2023-08-01,49850.000000,54800.000000,49800.000000,54200.000000,54200.000000,1035694
2023-08-02,53800.000000,53900.000000,49500.000000,49600.000000,49600.000000,944971
2023-08-03,49600.000000,49750.000000,48400.000000,48700.000000,48700.000000,455994
2023-08-04,48750.000000,49700.000000,48100.000000,48150.000000,48150.000000,313144
2023-08-07,48150.000000,49350.000000,47200.000000,48400.000000,48400.000000,260609
2023-08-08,48700.000000,49550.000000,46650.000000,46900.000000,46900.000000,284410
2023-08-09,47000.000000,48200.000000,47000.000000,48000.000000,48000.000000,194927
2023-08-10,47300.000000,49300.000000,47000.000000,49300.000000,49300.000000,383599
2023-08-11,48850.000000,49550.000000,48650.000000,48650.000000,48650.000000,201992
2023-08-14,48600.000000,49100.000000,47100.000000,47250.000000,47250.000000,207328
2023-08-16,46750.000000,46900.000000,45650.000000,45650.000000,45650.000000,282186
2023-08-17,45100.000000,45500.000000,43700.000000,43850.000000,43850.000000,356304
2023-08-18,43250.000000,44700.000000,43000.000000,44550.000000,44550.000000,223373
2023-08-21,44550.000000,44950.000000,43700.000000,43700.000000,43700.000000,201447
2023-08-22,43750.000000,44250.000000,43400.000000,43800.000000,43800.000000,149910
2023-08-23,43200.000000,43800.000000,42850.000000,43250.000000,43250.000000,122770
2023-08-24,43350.000000,44050.000000,43300.000000,43450.000000,43450.000000,106683
2023-08-25,42550.000000,42900.000000,42050.000000,42900.000000,42900.000000,163487
2023-08-28,43750.000000,43800.000000,42600.000000,43250.000000,43250.000000,109509
2023-08-29,43300.000000,44250.000000,43300.000000,44200.000000,44200.000000,158990
2023-08-30,44700.000000,45950.000000,44250.000000,45700.000000,45700.000000,268448
2023-08-31,45650.000000,46200.000000,44850.000000,45250.000000,45250.000000,203101
2023-09-01,44800.000000,45800.000000,44600.000000,45350.000000,45350.000000,132722
2023-09-04,45100.000000,46150.000000,45000.000000,45550.000000,45550.000000,127358
2023-09-05,45200.000000,45900.000000,44700.000000,45500.000000,45500.000000,116319
2023-09-06,45250.000000,45650.000000,44750.000000,45600.000000,45600.000000,101738
2023-09-07,45000.000000,45300.000000,43900.000000,44400.000000,44400.000000,175752
2023-09-08,44400.000000,45350.000000,44300.000000,44550.000000,44550.000000,112292
2023-09-11,44500.000000,44500.000000,43550.000000,43700.000000,43700.000000,149341
2023-09-12,43750.000000,44800.000000,43500.000000,44250.000000,44250.000000,187329
2023-09-13,43600.000000,44500.000000,43250.000000,44050.000000,44050.000000,131133
2023-09-14,44400.000000,45500.000000,43400.000000,45500.000000,45500.000000,419759
2023-09-15,45250.000000,46600.000000,45200.000000,46550.000000,46550.000000,332990
2023-09-18,46400.000000,46400.000000,45500.000000,45650.000000,45650.000000,122198
2023-09-19,45400.000000,45900.000000,44700.000000,44850.000000,44850.000000,119153
2023-09-20,44650.000000,45650.000000,44450.000000,44600.000000,44600.000000,135001
2023-09-21,44450.000000,44450.000000,42000.000000,42000.000000,42000.000000,376757
2023-09-22,41200.000000,43150.000000,41150.000000,41950.000000,41950.000000,212673
2023-09-25,41700.000000,42400.000000,40950.000000,41200.000000,41200.000000,188627
2023-09-26,40550.000000,41350.000000,40200.000000,40400.000000,40400.000000,202139
2023-09-27,39700.000000,41500.000000,39700.000000,40750.000000,40750.000000,199708
2023-10-04,40000.000000,40200.000000,39000.000000,39650.000000,39650.000000,327531
2023-10-05,39650.000000,40250.000000,38650.000000,38900.000000,38900.000000,202976
2023-10-06,38200.000000,39800.000000,38200.000000,39050.000000,39050.000000,181049
2023-10-10,39900.000000,40250.000000,38950.000000,39450.000000,39450.000000,244402
2023-10-11,39500.000000,41450.000000,39500.000000,40300.000000,40300.000000,266136
2023-10-12,40700.000000,41100.000000,40100.000000,41100.000000,41100.000000,205732
2023-10-13,40150.000000,40950.000000,40100.000000,40650.000000,40650.000000,122230
2023-10-16,40250.000000,41100.000000,40000.000000,40800.000000,40800.000000,166020
2023-10-17,40800.000000,41650.000000,40700.000000,41050.000000,41050.000000,131827
2023-10-18,40750.000000,41450.000000,39850.000000,39950.000000,39950.000000,114168
2023-10-19,39100.000000,39500.000000,38700.000000,38850.000000,38850.000000,157824
2023-10-20,38050.000000,38800.000000,36300.000000,36900.000000,36900.000000,246271
2023-10-23,36000.000000,37250.000000,35250.000000,36900.000000,36900.000000,270810
2023-10-24,36900.000000,38200.000000,35950.000000,38200.000000,38200.000000,193981
2023-10-25,38200.000000,38200.000000,37150.000000,37900.000000,37900.000000,187824
2023-10-26,38000.000000,38000.000000,35900.000000,35950.000000,35950.000000,225852
2023-10-27,36000.000000,36500.000000,34100.000000,34850.000000,34850.000000,310065
2023-10-30,34500.000000,35800.000000,34200.000000,35200.000000,35200.000000,207970
2023-10-31,35550.000000,35950.000000,33950.000000,34200.000000,34200.000000,242032
2023-11-01,34450.000000,34800.000000,33950.000000,34600.000000,34600.000000,183080
2023-11-02,34950.000000,36900.000000,34850.000000,36800.000000,36800.000000,253413
2023-11-03,37250.000000,39950.000000,36950.000000,39750.000000,39750.000000,394669
2023-11-06,41850.000000,45850.000000,41500.000000,44400.000000,44400.000000,888228
2023-11-07,43950.000000,44100.000000,41500.000000,42200.000000,42200.000000,344436
2023-11-08,42700.000000,43250.000000,41400.000000,41500.000000,41500.000000,169218
2023-11-09,41500.000000,42600.000000,41000.000000,42550.000000,42550.000000,210272
2023-11-10,41950.000000,42000.000000,40600.000000,40650.000000,40650.000000,170140
2023-11-13,40900.000000,41800.000000,40800.000000,41150.000000,41150.000000,105729
2023-11-14,41750.000000,42300.000000,41000.000000,41050.000000,41050.000000,125257
2023-11-15,42500.000000,43900.000000,41850.000000,43500.000000,43500.000000,330766
2023-11-16,43400.000000,43400.000000,42400.000000,42800.000000,42800.000000,109490
2023-11-17,42800.000000,42850.000000,41350.000000,41800.000000,41800.000000,105853
2023-11-20,41650.000000,43500.000000,41300.000000,42850.000000,42850.000000,109273
2023-11-21,43400.000000,45550.000000,43350.000000,44850.000000,44850.000000,370965
2023-11-22,44400.000000,46200.000000,43800.000000,45500.000000,45500.000000,188465
2023-11-23,45500.000000,46050.000000,44850.000000,45700.000000,45700.000000,104260
2023-11-24,45850.000000,46150.000000,45150.000000,45200.000000,45200.000000,75586
2023-11-27,45500.000000,45900.000000,45150.000000,45700.000000,45700.000000,90919
2023-11-28,46150.000000,46550.000000,45500.000000,46400.000000,46400.000000,154270
2023-11-29,45950.000000,46350.000000,45200.000000,45550.000000,45550.000000,88469
2023-11-30,45500.000000,46550.000000,44900.000000,46100.000000,46100.000000,236523
2023-12-01,46500.000000,46950.000000,45850.000000,46100.000000,46100.000000,142701
2023-12-04,46750.000000,46850.000000,45700.000000,45700.000000,45700.000000,109365
2023-12-05,45550.000000,45550.000000,44250.000000,44500.000000,44500.000000,130665
2023-12-06,44500.000000,45850.000000,44000.000000,44950.000000,44950.000000,83245
2023-12-07,44500.000000,46700.000000,44450.000000,46300.000000,46300.000000,172334
2023-12-08,46600.000000,49150.000000,46600.000000,48400.000000,48400.000000,504703
2023-12-11,48400.000000,49000.000000,47250.000000,47800.000000,47800.000000,158754
2023-12-12,48300.000000,49300.000000,47900.000000,48450.000000,48450.000000,217753
2023-12-13,48450.000000,48650.000000,46300.000000,46600.000000,46600.000000,184157
2023-12-14,47850.000000,49400.000000,47700.000000,49350.000000,49350.000000,420338
2023-12-15,49400.000000,49650.000000,48400.000000,49650.000000,49650.000000,211438
2023-12-18,49000.000000,49050.000000,47750.000000,48300.000000,48300.000000,143932
2023-12-19,48100.000000,48400.000000,47250.000000,47650.000000,47650.000000,114756
2023-12-20,48100.000000,48650.000000,47950.000000,48300.000000,48300.000000,126190
2023-12-21,47500.000000,48250.000000,47350.000000,47650.000000,47650.000000,104931
2023-12-22,48100.000000,48300.000000,47300.000000,47550.000000,47550.000000,86374
2023-12-26,48000.000000,48050.000000,47350.000000,47900.000000,47900.000000,95051
2023-12-27,48050.000000,48500.000000,47300.000000,48500.000000,48500.000000,95001
2023-12-28,48600.000000,49500.000000,48200.000000,49300.000000,49300.000000,155303
2024-01-02,48550.000000,49950.000000,48250.000000,49750.000000,49750.000000,128981
2024-01-03,49050.000000,49200.000000,47600.000000,47600.000000,47600.000000,172102
2024-01-04,47350.000000,47500.000000,45550.000000,45950.000000,45950.000000,228451
2024-01-05,45950.000000,46450.000000,45750.000000,46100.000000,46100.000000,70195
2024-01-08,46350.000000,47450.000000,46150.000000,46600.000000,46600.000000,112900
2024-01-09,48000.000000,48500.000000,47500.000000,47700.000000,47700.000000,152457
2024-01-10,47900.000000,48950.000000,47650.000000,47700.000000,47700.000000,111002
2024-01-11,48500.000000,60200.000000,48400.000000,58000.000000,58000.000000,5043844
2024-01-12,56900.000000,57300.000000,53500.000000,56100.000000,56100.000000,1355648
2024-01-15,55400.000000,56000.000000,54500.000000,58800.000000,58800.000000,123476
2024-01-16,58800.000000,59400.000000,56300.000000,56900.000000,56900.000000,612990
2024-01-17,56700.000000,57800.000000,53500.000000,55000.000000,55000.000000,514044
2024-01-18,55000.000000,55300.000000,52600.000000,53000.000000,53000.000000,357345
2024-01-19,53500.000000,54700.000000,51700.000000,52000.000000,52000.000000,321802
2024-01-22,52500.000000,53200.000000,50000.000000,50100.000000,50100.000000,324676
2024-01-23,50500.000000,53200.000000,50000.000000,52700.000000,52700.000000,375830
2024-01-24,52900.000000,53100.000000,51500.000000,52200.000000,52200.000000,203258
2024-01-25,52200.000000,52600.000000,50600.000000,51500.000000,51500.000000,163353
2024-01-26,51000.000000,52800.000000,50800.000000,51400.000000,51400.000000,167929
2024-01-29,52000.000000,52900.000000,49550.000000,49550.000000,49550.000000,319034
2024-01-30,49650.000000,50200.000000,47550.000000,47650.000000,47650.000000,401750
2024-01-31,47400.000000,47800.000000,46550.000000,47350.000000,47350.000000,155298
2024-02-01,46550.000000,47300.000000,45300.000000,46400.000000,46400.000000,236581
